network,median_r,n_sig,n_total,prop_label
VIS,0.14948162359120074,0,10,0/10
SM,0.08816894789102496,0,10,0/10
DAN,0.06632416646041714,0,14,0/14
VAN,0.03714997479245337,0,24,0/24
LIMB,0.16444709627092655,0,4,0/4
CONT,0.029106806482777227,0,26,0/26
DMN,0.04397899672424607,0,26,0/26
SUBC,-0.037201930352234326,0,8,0/8
