network,median_r,n_sig,n_total,prop_label
VIS,0.18164237325154106,3,10,3/10
SM,0.1505692471291975,4,10,4/10
DAN,0.11462161458520587,6,14,6/14
VAN,0.10957160152483747,6,24,6/24
LIMB,0.17347955754888178,3,4,3/4
CONT,0.07930165481756786,7,26,7/26
DMN,0.13536028583064133,7,26,7/26
SUBC,0.04820173719735318,1,8,1/8
