network,median_r,n_sig,n_total,prop_label
VIS,0.11808482903068973,3,10,3/10
SM,0.07153233512053869,0,10,0/10
DAN,0.3201500116124935,14,14,14/14
VAN,0.151071808301113,10,24,10/24
LIMB,0.09120650766377184,0,4,0/4
CONT,0.10782072004458682,10,26,10/26
DMN,0.17461725885878124,14,26,14/26
SUBC,0.15814910637979263,4,8,4/8
